ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
**TOTAL 3-7 years Credit IL                                            ,,,,000.0000,00001181600,00001192178.36, ,       ,00001292505.21,
PPWAWU,STANLIB INFLATION LINKED BOND FUND CL,SBLB1   ,Fixed Int Unit Trust,000.0000,00000000504,00000000506.63, ,       ,00000000525.45,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00000000504,00000000506.63, ,       ,00000000525.45,
PPWAWU,FNB CURRENT ACCOUNT - Net Settlements,FNBCUR01,Current Account     ,        ,           ,              , ,       ,00000548513.31,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00000548513.31,
PPWAWU,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000351120,00000351119.99, ,0040.00,00000352013.00,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000351120,00000351119.99, ,       ,00000352013.00,
TOTAL PPWAWU NAT PRO                                                   ,,,,        ,00136496396,00127077375.74, ,       ,00128049104.73,
PRASA ,ESKOM 9.25% 20/04/2018               ,ES18    ,0-1 years NominalGov,000.0000,00000258160,00000260413.34, ,0007.95,00000267586.87,FI00
PRASA ,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000139084,00000139472.07, ,0006.95,00000143812.30,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000397244,00000399885.41, ,       ,00000411399.17,
PRASA ,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000470308,00000484367.95, ,0008.26,00000489584.00,FI00
PRASA ,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000012943,00000013096.27, ,0007.08,00000013232.68,FI00
PRASA ,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000298598,00000294358.30, ,0007.33,00000299523.21,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000781849,00000791822.52, ,       ,00000802339.89,
PRASA ,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000398894,00000408769.15, ,0008.93,00000418627.33,FI00
PRASA ,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000881452,00000840439.68, ,0007.90,00000905593.21,FI00
PRASA ,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000372638,00000357063.20, ,0007.48,00000373053.34,FI00
PRASA ,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000346561,00000349868.58, ,0008.23,00000361241.39,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00001999545,00001956140.61, ,       ,00002058515.27,
PRASA ,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00004682791,00004121856.34, ,0009.72,00004306916.95,FI00
PRASA ,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00001836763,00002066313.98, ,0008.56,00002088653.37,FI00
PRASA ,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000249272,00000239793.11, ,0009.51,00000250152.58,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00006768826,00006427963.43, ,       ,00006645722.90,
PRASA ,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00009820376,00007463438.84, ,0010.77,00007681936.10,FI00
PRASA ,ESKOM 8.5% 25/04/2042                ,ES42    ,Over 12 years Nomina,000.0000,00002633664,00002119181.15, ,0011.05,00002132590.46,FI00
PRASA ,SA NATIONAL ROADS AGENCY LTD 9.25% 31,HWAY34  ,Over 12 years Nomina,000.0000,00001350180,00001206983.26, ,0010.66,00001205686.03,FI00
PRASA ,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00001057719,00000966393.70, ,0009.12,00000972910.24,FI00
PRASA ,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00012990850,00011786358.98, ,0009.35,00012249294.61,FI00
PRASA ,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00012520000,00011823919.43, ,0009.60,00012249414.00,FI00
PRASA ,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00014662456,00013190580.76, ,0009.69,00013176779.71,FI00
PRASA ,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00013728188,00012935745.13, ,0009.83,00012732752.97,FI00
PRASA ,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00093980615,00085282061.64, ,0009.86,00084425248.75,FI00
PRASA ,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00011594833,00010404090.45, ,0009.82,00010844220.62,FI00
PRASA ,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00009039943,00006530641.25, ,0009.57,00006656570.16,FI00
PRASA ,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00002422115,00002007296.36, ,0009.22,00002085096.35,FI00
PRASA ,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00012024402,00008607551.85, ,0009.75,00008784708.25,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00197825341,00174324242.80, ,       ,00175197208.25,
PRASA ,ABS10 ABSA BANK LIMITED 9.88% 17/03/2,ABS10   ,0-1 year NominalCred,000.0000,00000281206,00000284144.66, ,0008.25,00000294773.71,FI00
PRASA ,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00000642789,00000636331.81, ,0008.09,00000657513.37,FI00
PRASA ,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000018073,00000018441.84, ,0007.67,00000019003.81,FI00
PRASA ,INVESTEC IBL49 7.335% 02/04/2018     ,IBL49   ,0-1 year NominalCred,000.0000,00000306905,00000301226.50, ,0008.26,00000313029.39,FI00
PRASA ,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000257366,00000258789.29, ,0007.90,00000267072.87,FI00
PRASA ,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000018073,00000018693.14, ,0008.78,00000019366.43,FI00
PRASA ,LIBERTY GROUP LGL03 03/04/2018       ,LGL03   ,0-1 year NominalCred,000.0000,00000504075,00000487271.93, ,0008.85,00000513665.83,FI00
PRASA ,STD FIXED RATE 9.66% CALLABLE 01/12/2,SBK14   ,0-1 year NominalCred,000.0000,00000173346,00000174412.70, ,0008.05,00000177269.56,FI00
PRASA ,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000294068,00000293860.01, ,0008.43,00000302120.41,FI00
PRASA ,SBS13 STANDARD BANK OF SA 8.9% 22/09/,SBS13   ,0-1 year NominalCred,000.0000,00000251117,00000252017.48, ,0007.57,00000259927.64,FI00
PRASA ,SANTAM LTD 8% 150917 - STEP UP 15/09/,SNT01   ,0-1 year NominalCred,000.0000,00000000167,00000000166.88, ,0008.15,00000000172.46,FI00
PRASA ,SAPPI SOUTHERN AFRICA 3MONTH JIBAR+15,SSA05   ,0-1 year NominalCred,000.0000,00000005011,00000005025.10, ,0008.41,00000005052.97,FI02
PRASA ,TRANSNET LIMITED 17 9.25% 14/11/2017 ,TN17    ,0-1 year NominalCred,000.0000,00000534140,00000536872.75, ,0007.64,00000547746.26,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00003286336,00003267254.09, ,       ,00003376714.71,
PRASA ,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000273995,00000268037.47, ,0008.60,00000286334.28,FI00
PRASA ,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000343875,00000340352.17, ,0009.08,00000346792.44,FI00
PRASA ,ABSA BANK LTD 9.26% 14/05/2020       ,ABS12   ,1-3 years NominalCre,000.0000,00000313791,00000312615.24, ,0008.91,00000323223.53,FI00
PRASA ,ABSA 8.20% 01/06/2020                ,ABS6    ,1-3 years NominalCre,000.0000,00001511325,00001467489.93, ,0008.58,00001520292.75,FI00
PRASA ,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000577769,00000571090.52, ,0008.43,00000598762.76,FI00
PRASA ,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000690450,00000692064.35, ,0008.58,00000723358.78,FI00
PRASA ,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00001375098,00001359514.79, ,0008.54,00001403416.49,FI00
PRASA ,ESKOM 13.5% 01 AUG 2020              ,E170    ,1-3 years NominalCre,000.0000,00000000481,00000000547.93, ,0008.22,00000000548.35,FI00
PRASA ,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000453034,00000443794.59, ,0008.88,00000455935.23,FI00
PRASA ,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00001014647,00001039071.74, ,0009.89,00001057460.64,FI00
PRASA ,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00000550124,00000545366.36, ,0007.90,00000573925.67,FI00
PRASA ,INVESTEC IBL45 8% 21/12/2018         ,IBL45   ,1-3 years NominalCre,000.0000,00000290893,00000285580.49, ,0008.51,00000292082.49,FI00
PRASA ,INVESTEC IBL46 7.25% 15/01/2020      ,IBL46   ,1-3 years NominalCre,000.0000,00000573691,00000542647.83, ,0008.96,00000555425.19,FI00
PRASA ,INVESTEC BANK LIMITED 9.750% 20/05/20,IBL87   ,1-3 years NominalCre,000.0000,00000048016,00000049049.69, ,0008.38,00000050103.40,FI00
PRASA ,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000959618,00001012703.96, ,0008.15,00001063486.76,FI00
PRASA ,NAMIBIA POWER CORP LTD - 24/07/2020  ,NMP20N  ,1-3 years NominalCre,000.0000,00000085712,00000086912.94, ,0008.38,00000088194.26,FI00
PRASA ,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000424287,00000446935.30, ,0008.26,00000454745.59,FI00
PRASA ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00000400033,00000395447.36, ,0009.71,00000415575.92,FI00
PRASA ,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000321574,00000323719.86, ,0007.95,00000332331.42,FI00
PRASA ,SANLAM 8.7% 15/08/2018               ,SLI3    ,1-3 years NominalCre,000.0000,00000191090,00000189864.86,X,0008.33,00000191498.37,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00010399503,00010372807.38, ,       ,00010733494.32,
PRASA ,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00000659539,00000638610.28, ,0009.58,00000677398.06,FI00
PRASA ,ABSA BANK LTD 9.675% 14/05/2022      ,ABS13A  ,3-7 years NominalCre,000.0000,00000723060,00000717893.09, ,0009.36,00000748000.22,FI00
PRASA ,AIR02 AIRPORTS COMPANY SA LTD 11.68% ,AIR02   ,3-7 years NominalCre,000.0000,00000165438,00000175804.76, ,0010.10,00000181871.78,FI00
PRASA ,AIRPORTS COMPANY OF SA 9.25% 29/05/20,AIR04   ,3-7 years NominalCre,000.0000,00000258021,00000252950.20, ,0009.25,00000262627.35,FI00
PRASA ,BARLOWORLD LIMITED 3MONTH JIBAR+170BP,BAW18   ,3-7 years NominalCre,000.0000,00000100109,00000100315.27, ,0009.05,00000101637.24,FI02
PRASA ,BARLOW  WORLD 9.295% 24/03/2022      ,BAW21A  ,3-7 years NominalCre,000.0000,00000096965,00000092921.46, ,0009.33,00000100200.21,FI00
PRASA ,CCT01 CITY OF CAPE TOWN 12.57% 23/06/,CCT01   ,3-7 years NominalCre,000.0000,00000001077,00000001180.27, ,0010.39,00000001195.65,FI00
PRASA ,CCT02 CITY OF CAPE TOWN 11.615% 12/06,CCT02   ,3-7 years NominalCre,000.0000,00000066865,00000070928.00, ,0010.39,00000072033.70,FI00
PRASA ,STANDARD BANK CLN ESKOM 10.55% 20/03/,CLN362  ,3-7 years NominalCre,000.0000,00000096965,00000097912.72, ,0009.97,00000103567.95,FI00
PRASA ,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00001115075,00001144096.20, ,0009.49,00001203485.87,FI00
PRASA ,CITY OF JHB METRO 10.18% 09/06/2024  ,COJG01  ,3-7 years NominalCre,000.0000,00002751292,00002713656.97, ,0009.86,00002840280.06,FI00
PRASA ,CITY OF TSHWANE 9.110% 03/04/2023    ,COT01   ,3-7 years NominalCre,000.0000,00001497159,00001376099.01, ,0010.04,00001485842.67,FI00
PRASA ,DEVELOPMENT BANK OF SA 9.03% 18/06/20,DV2021  ,3-7 years NominalCre,000.0000,00000731843,00000711206.25, ,0009.05,00000740618.09,FI00
PRASA ,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00000001302,00000001320.77, ,0009.45,00000001390.88,FI00
PRASA ,DEVELOPMENT BANK OF SA 9.69% 18/02/20,DV24    ,3-7 years NominalCre,000.0000,00000541805,00000530444.92,X,0009.57,00000543637.17,FI00
PRASA ,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000013965,00000013964.10, ,0008.78,00000014010.41,FI02
PRASA ,LIBERTY GROUP LIMITED 9.165% 14/08/20,LGL04   ,3-7 years NominalCre,000.0000,00001005763,00000983011.84,X,0009.23,00001002835.25,FI00
PRASA ,MMI GROUP LTD 10.065% 17/03/2021     ,MMIG02A ,3-7 years NominalCre,000.0000,00001133644,00001148222.45, ,0009.18,00001208624.12,FI00
PRASA ,MMI GROUP LTD 10.86% 12/08/2022      ,MMIG05  ,3-7 years NominalCre,000.0000,00000924694,00000921616.03,X,0010.15,00000949186.19,FI00
PRASA ,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00000269139,00000272491.46, ,0008.50,00000277078.84,FI00
PRASA ,NEDBANK ESKOM CLN 10.49% 20/03/2024  ,NCLN85  ,3-7 years NominalCre,000.0000,00000116358,00000116355.36, ,0010.34,00000121862.21,FI00
PRASA ,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00001773770,00001966056.86, ,0009.18,00002054977.29,FI00
PRASA ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00000639129,00000625896.44, ,0010.48,00000660944.71,FI00
PRASA ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00000750251,00000737880.29, ,0010.47,00000795476.43,FI00
PRASA ,RAND WATER 9.97% 21/04/2021          ,RW21    ,3-7 years NominalCre,000.0000,00001730177,00001750102.50, ,0009.15,00001825275.83,FI00
PRASA ,RAND WATER 9.51% 10/12/2023          ,RW23    ,3-7 years NominalCre,000.0000,00001504458,00001449456.06, ,0009.58,00001522630.65,FI00
PRASA ,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000106506,00000109393.58, ,0008.36,00000114181.88,FI00
PRASA ,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00002445777,00002428888.99, ,0009.15,00002677894.69,FI00
PRASA ,STD 8.60% 16/11/2021                 ,SBS4    ,3-7 years NominalCre,000.0000,00001621560,00001557068.77, ,0008.80,00001642058.30,FI00
PRASA ,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00000851894,00000873667.13, ,0008.76,00000926566.60,FI00
PRASA ,TRANSNET LIMITED 10.80% 06/11/2023   ,TN23    ,3-7 years NominalCre,000.0000,00000897914,00000921160.26, ,0009.42,00000980179.62,FI00
PRASA ,UMGENI 10.70% 020321                 ,UG21    ,3-7 years NominalCre,000.0000,00000087790,00000092126.93, ,0009.08,00000096115.26,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00024679304,00024592699.22, ,       ,00025933685.18,
PRASA ,ABSA 8.80% 11/09/2026                ,ABS7    ,7-12 years NominalCr,000.0000,00003982999,00003645890.70, ,0009.91,00003865207.38,FI00
PRASA ,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00002753286,00002825139.53, ,0010.46,00002974772.72,FI00
PRASA ,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00008140220,00008301067.28, ,0010.56,00008673260.92,FI00
PRASA ,DEVELOPMENT BANK OF SA 10.10% 18/02/2,DV29    ,7-12 years NominalCr,000.0000,00001650752,00001563946.00,X,0011.02,00001548937.08,FI00
PRASA ,EKURULNI METROPOLITAN MUNICIPALITY 10,EMM06A  ,7-12 years NominalCr,000.0000,00001332808,00001296084.21, ,0010.37,00001341367.10,FI00
PRASA ,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00001617568,00001698570.34, ,0009.20,00001777333.90,FI00
PRASA ,INDUSTRIAL DEVELOPMENT CORPORATION 9.,IDCG06  ,7-12 years NominalCr,000.0000,00001311949,00001242932.67, ,0010.41,00001281102.59,FI00
PRASA ,KOMATI RIVER BASIN AUTHORITY 13.50% 3,KW01    ,7-12 years NominalCr,000.0000,00000002981,00000003835.00, ,0008.96,00000003984.58,FI00
PRASA ,NEDBANK LIMITED 9.440% 12/02/2025    ,NBK16A  ,7-12 years NominalCr,000.0000,00000799160,00000747203.36,X,0010.26,00000764808.27,FI00
PRASA ,NEDBANK 10.36% 01/06/2026            ,NBK20A  ,7-12 years NominalCr,000.0000,00003304403,00003271839.55, ,0009.96,00003444341.82,FI00
PRASA ,NEDBANK LIMITED 10.50% 31/07/2026    ,NBK29A  ,7-12 years NominalCr,000.0000,00002844700,00002852064.44, ,0010.26,00002891300.74,FI00
PRASA ,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA028  ,7-12 years NominalCr,000.0000,00001071681,00001136041.74, ,0011.06,00001177562.55,FI00
PRASA ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML10   ,7-12 years NominalCr,000.0000,00001427081,00001407334.14, ,0011.46,00001483717.99,FI00
PRASA ,RAND WATER 10.245% 10/12/2028        ,RW28    ,7-12 years NominalCr,000.0000,00002627709,00002513163.91, ,0010.92,00002557287.45,FI00
PRASA ,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00002194169,00002178325.37, ,0009.67,00002294263.91,FI00
PRASA ,STD 8.2% 25/05/2026                  ,SBS3    ,7-12 years NominalCr,000.0000,00001979884,00001729550.79, ,0009.84,00001825260.01,FI00
PRASA ,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00004603771,00004476857.94, ,0009.89,00004644019.93,FI00
PRASA ,STD BANK 10.64% 12/11/2025           ,SBS42   ,7-12 years NominalCr,000.0000,00002813440,00002911083.57, ,0009.52,00003063278.25,FI00
PRASA ,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00001516455,00001403917.87, ,0010.40,00001511303.60,FI00
PRASA ,TRANSNET LIMITED 8.90% 14/11/2027    ,TN27    ,7-12 years NominalCr,000.0000,00001289262,00001118563.84, ,0010.55,00001184560.78,FI00
PRASA ,UG26 UMGENI WATER 11.31% 09/03/2026  ,UG26    ,7-12 years NominalCr,000.0000,00004317067,00004472365.61, ,0010.53,00004706475.08,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00051581345,00050795777.86, ,       ,00053014146.65,
PRASA ,STANDARD CHARTER - Net Settlements   ,STANCH01,Current Account     ,        ,           ,              , ,       ,00001087772.32,ZL06
PRASA ,STANDARD BANK ZAR                    ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00000001635.96,ZL01
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00001089408.28,
PRASA ,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000311445,00000311445.37, ,0040.00,00000312647.13,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000311445,00000311445.37, ,       ,00000312647.13,
TOTAL PRASA PROV                                                       ,,,,        ,00298030738,00273240038.69, ,       ,00279575281.75,
PRI197,I2038 REPUBLIC OF SOUTH AFRICA 2.250%,I2038M7 ,Over 12 years Gov IL,000.0000,00070728000,00090170096.63, ,0002.40,00091155788.27,FI04
**TOTAL Over 12 years Gov IL                                           ,,,,000.0000,00070728000,00090170096.63, ,       ,00091155788.27,
PRI197,STANLIB EXTRA INCOME ABIL RETENTION F,SEIAR   ,Fixed Int Unit Trust,000.0000,00000922365,00000796943.87, ,       ,00000892735.56,OS03
PRI197,STANLIB EXTRA INCOME FUND B2         ,SEIB2   ,Fixed Int Unit Trust,000.0000,00108570583,00093299015.94, ,       ,00093611836.89,OS03
PRI197,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00000507295,00000708461.40, ,       ,00000784303.90,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00110000243,00094804421.21, ,       ,00095288876.35,
PRI197,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,-0088830943.56,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,-0088830943.56,
PRI197,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000000032,00000000031.49, ,0040.00,00000000031.55,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000000032,00000000031.49, ,       ,00000000031.55,
TOTAL PIPF R197                                                        ,,,,        ,00180728275,00184974549.33, ,       ,00097613752.61,
PRI202,I2033 REPUBLIC OF SOUTH AFRICA 1.875%,I2033M7 ,Over 12 years Gov IL,000.0000,00004800000,00004964134.08, ,0002.53,00004993103.04,FI04
PRI202,I2038 REPUBLIC OF SOUTH AFRICA 2.250%,I2038M7 ,Over 12 years Gov IL,000.0000,00079800000,00101735857.79, ,0002.40,00102847979.64,FI04
PRI202,R202 REPUBLIC OF SOUTH AFRICA CPI 3.4,R202M7  ,Over 12 years Gov IL,000.0000,00109194000,00257572411.75, ,0002.52,00259978487.72,FI04
**TOTAL Over 12 years Gov IL                                           ,,,,000.0000,00193794000,00364272403.62, ,       ,00367819570.40,
PRI202,STANLIB EXTRA INCOME ABIL RETENTION F,SEIAR   ,Fixed Int Unit Trust,000.0000,00010427179,00009019793.25, ,       ,00010092226.29,OS03
PRI202,STANLIB EXTRA INCOME FUND B2         ,SEIB2   ,Fixed Int Unit Trust,000.0000,01019878508,00877113790.47, ,       ,00879360666.83,OS03
PRI202,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00001834580,00002571856.00, ,       ,00002836356.54,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,01032140267,00888705439.72, ,       ,00892289249.66,
PRI202,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,-0362260833.07,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,-0362260833.07,
PRI202,ABSA COLLATERAL                      ,ABSACOL ,Call Account        ,        ,           ,              , ,       ,00000058018.70,ZL01
**TOTAL Call Account                                                   ,,,,        ,           ,              , ,       ,00000058018.70,
PRI202,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000000114,00000000113.98, ,0040.00,00000000114.17,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000000114,00000000113.98, ,       ,00000000114.17,
TOTAL PIPF R202                                                        ,,,,        ,01225934381,01252977957.32, ,       ,00897906119.86,
PRMCOL,STANLIB INCOME FUND (CLASS B1)       ,SIB1    ,Fixed Int Unit Trust,000.0000,00000000744,00000001010.38, ,       ,00000001016.98,OS03
PRMCOL,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00000098501,00000138272.85, ,       ,00000152287.00,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00000099245,00000139283.23, ,       ,00000153303.98,
PRMCOL,SOCIETE GENERALE                     ,SOCGEN01,Current Account     ,        ,           ,              , ,       ,00000000001.74,ZL01
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00000000001.74,
TOTAL PRIME COLL INV                                                   ,,,,        ,00000099245,00000139283.23, ,       ,00000153305.72,
RMALAC,STANLIB INCOME FUND (CLASS B1)       ,SIB1    ,Fixed Int Unit Trust,000.0000,           ,00000000000.00, ,       ,00000000000.00,OS03
RMALAC,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00002964967,00004160757.10, ,       ,00004583992.56,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00002964967,00004160757.10, ,       ,00004583992.56,
RMALAC,STANDARD BANK ZAR                    ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00000112099.85,ZL01
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00000112099.85,
RMALAC,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000000027,00000000027.25, ,0040.00,00000000027.35,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000000027,00000000027.25, ,       ,00000000027.35,
TOTAL RMA LIFE                                                         ,,,,        ,00002964994,00004160784.35, ,       ,00004696119.76,
S0011I,STANLIB HIGH ALPHA THREADNEEDLE CLASS,SHAGEF  ,Equity              ,000.0000,00000006570,00054385384.68, ,       ,00118411037.27,OS03
**TOTAL Equity                                                         ,,,,000.0000,00000006570,00054385384.68, ,       ,00118411037.27,
S0011I,STANLIB INSTITUTIONAL PROPERTY FUND (,SIP3    ,Real Estate         ,000.0000,00003991266,00015355624.19, ,       ,00015631906.60,OS03
S0011I,STANLIB GLOBAL PROPERTY FUND CLASS B ,STGPFB  ,Real Estate         ,000.0000,00000000075,00002267432.35, ,       ,00002358230.65,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00003991341,00017623056.54, ,       ,00017990137.25,
S0011I,SWAZILAND BOND 8.25% 30/06/2018      ,SG021   ,0-1 years NominalGov,000.0000,00015000000,00015000000.00, ,0008.64,00015083652.37,FI00
S0011I,SWAZI GOV 8.25% 31/01/2018           ,SWAZBND2,0-1 years NominalGov,000.0000,00010000000,00009967101.84, ,0008.51,00010004555.60,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00025000000,00024967101.84, ,       ,00025088207.97,
